FECHA;GERENCIA;NOMBREGERENCIA;CS;CENTRO;TOTALENFERMEDAD;TSI;TASAx100;x_geo;y_geo;zbs_geo;TOTALENFERMEDAD_7DIAS;TASAx100_7DIAS;TOTALENFERMEDAD_14DIAS;TASAx100_14DIAS;PROVINCIA;TIPO_CENTRO;PCR_REALIZADOS;TASAx100_PCR_REALIZADOS;PCR_POSITIVOS;TASAx10000_PCR_POSITIVOS;PCR_POSITIVOS_SINTOMAS;TASAx10000_PCR_POSITIVOS_SINTOMAS;PCR_POSITIVOS_SINTOMAS_7DIAS;TASAPCR_POSITIVOS_SINTOMASx10000_7DIAS;PCR_POSITIVOS_SINTOMAS_14DIAS;TASAPCR_POSITIVOS_SINTOMASx10000_14DIAS;SOSPECHA_TRANSMISION_COMUNITARIA;Posición;MUNICIPIO
2020-03-24;1706;Gerencia de Salamanca;170601;C.S. ALBA DE TORMES;17;12315;0.138043037;-5.5135134;40.7460397;ALBA DE TORMES;92;0.747056435;102;0.828258222;Salamanca;Rural;3;0.024360536;2;1.624035729;2;1.624035729;25;20.30044661;25;20.30044661;;40.7460397,-5.5135134;ALDEASECA DE ALBA/ARMENTEROS/BELEÑA/CHAGARCIA MEDIANERO/COCA DE ALBA/GAJATES/GALISANCHO/LARRODRIGO/NAVALES/PEDROSILLO DE ALBA/PEDROSILLO DE LOS AIRES/PELAYOS/VALDEMIERQUE/ANAYA DE ALBA/BUENAVISTA/EJEME/HORCAJO MEDIANERO/MAYA (LA)/PEDRAZA DE ALBA/SIETEIGLESIAS DE TORMES/TERRADILLOS/ALBA DE TORMES/ENCINAS DE ARRIBA/FRESNO ALHANDIGA/GALINDUSTE/GARCIHERNANDEZ/MARTINAMOR/PEÑARANDILLA/VALDECARROS
2020-03-24;1706;Gerencia de Salamanca;170616;C.S. LEDESMA;0;2555;0.0;-6.0954699;41.0899495;LEDESMA;5;0.195694716;7;0.273972603;Salamanca;Rural;0;0.0;0;0.0;0;0.0;1;3.913894325;2;7.82778865;;41.0899495,-6.0954699;DOÑINOS DE LEDESMA/ENCINA DE SAN SILVESTRE/GEJUELO DEL BARRO/LEDESMA/MANZANO (EL)/SANDO/SANTA MARIA DE SANDO/SARDON DE LOS FRAILES/VILLARMAYOR/MONLERAS/VILLASDARDO/VILLASECO DE LOS GAMITOS/VILLASECO DE LOS REYES/MATA DE LEDESMA (LA)
2020-03-24;1706;Gerencia de Salamanca;170618;C.S. LUMBRALES;0;3294;0.0;-6.6910851;40.9107995;LUMBRALES;3;0.091074681;5;0.151791135;Salamanca;Rural;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;;40.9107995,-6.6910851;BAÑOBAREZ/BERMELLAR/OLMEDO DE CAMACES/AHIGAL DE LOS ACEITEROS/CERRALBO/LUMBRALES/REDONDA (LA)/SAN FELICES DE LOS GALLEGOS/SOBRADILLO/FREGENEDA (LA)/FUENTELIANTE/HINOJOSA DE DUERO
2020-03-24;1706;Gerencia de Salamanca;170619;C.S. MATILLA CAÑOS;1;1823;0.054854635;-5.9732262;40.8405196;MATILLA CAÑOS;5;0.274273176;7;0.383982447;Salamanca;Rural;0;0.0;0;0.0;0;0.0;1;5.485463522;1;5.485463522;;40.8405196,-5.9732262;ROBLIZA DE COJOS/SANCHON DE LA SAGRADA/ALDEHUELA DE LA BOVEDA/CALZADA DE DON DIEGO/CANILLAS DE ABAJO/MATILLA DE LOS CAÑOS DEL RIO/VILLALBA DE LOS LLANOS/CARRASCAL DEL OBISPO/TABERA DE ABAJO/VECINOS/VEGUILLAS (LAS)
2020-03-24;1706;Gerencia de Salamanca;170620;C.S. MIRANDA DEL CASTAÑAR;3;1694;0.177095632;-6.0341157;40.4383859;MIRANDA DEL CASTAÑAR;5;0.295159386;5;0.295159386;Salamanca;Rural;0;0.0;0;0.0;0;0.0;2;11.80637544;2;11.80637544;;40.4383859,-6.0341157;CEPEDA/HERGUIJUELA DE LA SIERRA/MADROÑAL/MIRANDA DEL CASTAÑAR/VILLANUEVA DEL CONDE/SOTOSERRANO/GARCIBUEY/SEQUEROS
2020-03-24;1706;Gerencia de Salamanca;170621;C.S. PEDROSILLO EL RALO;2;2641;0.075728891;-5.4871391;41.1200652;PEDROSILLO EL RALO;13;0.492237789;15;0.567966679;Salamanca;Rural;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;;41.1200652,-5.4871391;CABEZABELLOSA DE LA CALZADA/PARADA DE RUBIALES/PITIEGUA/TARDAGUILA/VALLESA DE LA GUAREÑA/VELLES (LA)/VILLAVERDE DE GUAREÑA/ARCEDIANO/CAÑIZAL/ESPINO DE LA ORBADA/ORBADA (LA)/PEDROSILLO EL RALO/ALDEANUEVA DE FIGUEROA/GOMECELLO/NEGRILLA DE PALENCIA/PAJARES DE LA LAGUNA/PALENCIA DE NEGRILLA
2020-03-24;1706;Gerencia de Salamanca;170624;C.S. PEÑARANDA;6;10063;0.059624366;-5.2549602;40.8839787;PEÑARANDA;29;0.288184438;45;0.447182749;Salamanca;Rural;2;0.019874789;1;0.993739442;1;0.993739442;2;1.987478883;3;2.981218325;;40.8839787,-5.2549602;ALARAZ/CANTARACILLO/MALPARTIDA/SALMORAL/SANTIAGO DE LA PUEBLA/CAMPO DE PEÑARANDA (EL)/VENTOSA DEL RIO ALMAR/VILLAR DE GALLIMAZO/ALCONADA/ALDEASECA DE LA FRONTERA/BOVEDA DEL RIO ALMAR/MACOTERA/MANCERA DE ABAJO/NAVA DE SOTROBAL/PARADINAS DE SAN JUAN/PEÑARANDA DE BRACAMONTE/RAGAMA/TORDILLOS
2020-03-24;1706;Gerencia de Salamanca;170630;C.S. TAMAMES;1;2189;0.04568296;-6.1158181;40.6516889;TAMAMES;2;0.091365921;8;0.365463682;Salamanca;Rural;0;0.0;0;0.0;0;0.0;2;9.136592051;3;13.70488808;;40.6516889,-6.1158181;ALBA DE YELTES/ALDEANUEVA DE LA SIERRA/BERROCAL DE HUEBRA/CERECEDA DE LA SIERRA/CILLEROS DE LA BASTIDA/MORASVERDES/ABUSEJO/BARBALOS/DIOS LE GUARDE/NAVARREDONDA DE LA RINCONADA/TEJEDA Y SEGOYUELA/ALDEHUELA DE YELTES/BASTIDA (LA)/NARROS DE MATALAYEGUA/PUEBLA DE YELTES/RINCONADA DE LA SIERRA (LA)/SEPULCRO-HILARIO/TAMAMES
2020-03-24;1706;Gerencia de Salamanca;170637;C.S. CAPUCHINOS;17;9829;0.172957575;-5.67021;40.9834149;CAPUCHINOS;75;0.763048123;113;1.149659172;Salamanca;Urbano;6;0.06104385;4;4.069589989;3;3.052192492;11;11.19137247;11;11.19137247;;40.9834149,-5.67021;SALAMANCA
2020-03-25;1706;Gerencia de Salamanca;170602;C.S. ALDEADAVILA RIBERA;1;2568;0.03894081;-6.6595106;41.1113017;ALDEADAVILA RIBERA;6;0.23364486;9;0.35046729;Salamanca;Rural;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;;41.1113017,-6.6595106;CEREZAL DE PEÑAHORCADA/MIEZA/VILLASBUENAS/ALDEADAVILA DE LA RIBERA/BARRUECOPARDO/MASUECO/SALDEANA/SAUCELLE/MILANO (EL)/VILVESTRE/ZARZA DE PUMAREDA (LA)
2020-03-25;1706;Gerencia de Salamanca;170603;C.S. BEJAR;10;16077;0.062200659;-5.8578389;40.3892584;BEJAR;71;0.441624681;92;0.572246066;Salamanca;Rural;2;0.012440132;0;0.0;0;0.0;2;1.244013187;4;2.488026373;;40.3892584,-5.8578389;CALZADA DE BEJAR (LA)/COLMENAR DE MONTEMAYOR/HORCAJO DE MONTEMAYOR/LAGUNILLA/MONTEMAYOR DEL RIO/PEÑACABALLERA/SANCHOTELLO/SANTIBAÑEZ DE LA SIERRA/VALDEHIJADEROS/VALDELAGEVE/ALDEACIPRESTE/BEJAR/CANDELARIO/CERRO (EL)/HOYA (LA)/MOLINILLO/NAVACARROS/NAVALMORAL DE BEJAR/CANTAGALLO/CRISTOBAL/PINEDAS/PUERTO DE BEJAR/VALDEFUENTES DE SANGUSIN/VALLEJERA DE RIOFRIO
